Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Ben Simmons\simmobe01,23,54,54,35.7,6.7,11.4,.585,0.0,0.1,.333,6.6,11.3,.588,.587,3.3,5.3,.627,2.0,5.8,7.8,8.2,2.1,0.6,3.6,3.2,16.7
2,Tobias Harris\harrito02,27,65,65,34.5,7.6,16.1,.472,1.8,5.0,.362,5.8,11.1,.521,.528,2.4,2.9,.806,0.8,5.9,6.8,3.2,0.8,0.5,1.5,2.3,19.4
3,Al Horford\horfoal01,33,60,57,30.8,4.8,10.9,.442,1.5,4.4,.337,3.3,6.5,.513,.510,0.9,1.2,.753,1.5,5.3,6.9,4.1,0.9,0.9,1.1,2.1,12.0
4,Josh Richardson\richajo01,26,48,46,30.7,5.1,12.0,.429,1.5,4.5,.327,3.7,7.5,.489,.490,2.1,2.7,.789,0.8,2.6,3.4,3.1,0.9,0.7,1.9,2.5,13.8
5,Joel Embiid\embiijo01,25,44,44,30.2,7.5,15.9,.474,1.3,3.7,.348,6.3,12.3,.511,.514,7.1,8.7,.814,2.8,9.0,11.8,3.1,0.9,1.3,3.1,3.4,23.4
6,Furkan Korkmaz\korkmfu01,22,64,12,21.8,3.5,8.0,.432,2.0,5.0,.397,1.5,3.1,.487,.554,0.8,1.1,.736,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.7
7,Alec Burks\burksal01,28,11,0,20.2,3.5,9.1,.390,1.5,4.5,.327,2.1,4.6,.451,.470,2.2,2.5,.889,0.5,2.7,3.3,1.8,0.7,0.0,0.8,1.2,10.7
8,Matisse Thybulle\thybuma01,22,57,13,19.5,1.7,4.1,.410,0.9,2.5,.352,0.8,1.6,.500,.517,0.4,0.7,.610,0.6,0.9,1.5,1.2,1.4,0.7,0.8,2.1,4.7
9,Shake Milton\miltosh01,23,32,16,19.1,3.4,6.8,.498,1.5,3.3,.453,1.9,3.5,.541,.608,1.2,1.6,.765,0.3,1.8,2.1,2.2,0.6,0.2,1.2,2.2,9.5
10,Glenn Robinson\robingl02,26,12,4,18.9,3.1,5.9,.521,0.5,1.8,.286,2.6,4.2,.620,.563,0.8,0.8,1.000,1.0,1.8,2.8,0.9,0.7,0.2,0.3,1.3,7.4
11,Mike Scott\scottmi01,31,63,10,17.8,2.1,5.1,.408,1.2,3.2,.358,0.9,1.8,.496,.522,0.4,0.5,.833,0.9,2.7,3.6,0.8,0.3,0.1,0.4,1.3,5.7
12,James Ennis\ennisja01,29,49,0,15.8,2.0,4.6,.442,0.8,2.2,.349,1.3,2.4,.525,.524,1.0,1.2,.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
13,Trey Burke\burketr01,27,25,0,13.2,2.4,5.1,.465,0.6,1.5,.421,1.7,3.6,.483,.528,0.5,0.7,.722,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9
14,Raul Neto\netora01,27,49,3,11.5,1.6,3.6,.451,0.6,1.4,.394,1.0,2.1,.490,.531,0.5,0.6,.839,0.2,0.8,1.1,1.6,0.4,0.1,0.9,0.9,4.3
15,Kyle O'Quinn\oquinky01,29,26,1,9.9,1.3,2.8,.486,0.3,0.9,.304,1.1,1.9,.571,.535,0.4,0.7,.526,1.2,2.5,3.8,1.3,0.2,0.8,0.7,1.3,3.3
16,Norvel Pelle\pelleno01,26,20,0,8.9,0.9,1.8,.514,0.0,0.0,,0.9,1.8,.514,.514,0.3,0.6,.500,0.8,2.2,3.0,0.4,0.1,1.3,0.7,2.0,2.1
17,Marial Shayok\shayoma01,24,2,0,5.0,0.5,2.5,.200,0.5,1.5,.333,0.0,1.0,.000,.300,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.0,1.5
18,Zhaire Smith\smithzh01,20,7,0,4.6,0.4,1.6,.273,0.0,0.4,.000,0.4,1.1,.375,.273,0.3,0.6,.500,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1
19,Jonah Bolden\boldejo01,24,4,0,3.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.5,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.5,1.0,1.0