Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Donovan Mitchell\mitchdo01,23,63,2165,19.1,.560,.347,.235,2.3,11.2,7.0,21.2,1.5,0.5,10.9,31.0,,3.0,2.2,5.2,.115,,2.4,-0.5,1.9,2.1
2,Rudy Gobert\goberru01,27,62,2142,21.7,.700,.000,.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,,6.0,4.0,10.0,.225,,1.8,1.9,3.7,3.1
3,Bojan BogdanoviÄ‡\bogdabo02,30,63,2083,15.7,.603,.489,.296,2.2,11.1,6.8,9.9,0.8,0.3,13.1,25.6,,2.7,1.6,4.3,.099,,1.6,-1.5,0.2,1.1
4,Joe Ingles\inglejo01,32,64,1916,12.5,.588,.628,.170,1.4,12.7,7.3,24.0,1.5,0.4,18.9,15.0,,2.4,2.0,4.3,.108,,0.0,0.7,0.7,1.3
5,Royce O'Neale\onealro01,26,64,1862,9.3,.584,.657,.153,1.4,17.8,10.0,11.5,1.2,1.3,12.7,9.3,,1.8,2.2,4.0,.104,,-1.3,2.1,0.8,1.3
6,Mike Conley\conlemi01,32,41,1171,13.7,.527,.438,.241,2.7,9.5,6.2,22.8,1.3,0.3,12.4,23.0,,1.0,1.0,2.1,.085,,0.4,-0.4,0.0,0.6
7,Jordan Clarkson\clarkjo01,27,34,861,17.4,.584,.454,.138,3.5,8.8,6.2,10.5,1.5,0.7,8.7,25.3,,1.2,0.8,2.0,.112,,1.6,-0.9,0.7,0.6
8,Georges Niang\niangge01,26,58,772,12.4,.612,.698,.083,1.8,13.2,7.7,6.7,0.8,0.5,8.6,17.1,,1.0,0.7,1.7,.105,,0.9,-0.4,0.5,0.5
9,Emmanuel Mudiay\mudiaem01,23,48,752,13.7,.550,.263,.239,2.6,13.7,8.4,21.8,1.2,1.1,16.9,22.4,,0.3,0.8,1.1,.071,,-1.2,0.1,-1.1,0.2
10,Jeff Green\greenje02,33,30,553,10.1,.523,.533,.323,2.9,12.7,8.0,5.2,1.1,1.5,10.8,19.8,,0.0,0.6,0.6,.048,,-1.8,-0.2,-2.0,0.0
11,Tony Bradley\bradlto01,22,50,535,21.8,.675,.006,.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,,1.8,0.9,2.7,.242,,0.9,0.4,1.3,0.4
12,Ed Davis\davised01,30,25,268,7.3,.425,.000,.324,12.4,25.8,19.4,3.8,1.8,2.8,25.1,8.5,,-0.1,0.5,0.4,.074,,-5.5,1.7,-3.9,-0.1
13,Dante Exum\exumda01,24,11,83,4.8,.503,.261,.087,4.2,11.4,7.9,11.8,0.6,2.0,29.5,17.9,,-0.2,0.1,-0.1,-0.054,,-5.1,-0.5,-5.6,-0.1
14,Rayjon Tucker\tuckera01,22,14,78,4.5,.448,.316,.263,2.9,14.8,9.1,3.5,0.6,0.0,12.4,13.6,,-0.1,0.1,0.0,-0.009,,-6.7,-1.2,-7.9,-0.1
15,Juwan Morgan\morgaju01,22,16,74,8.8,.559,.294,.000,7.8,19.8,14.1,3.8,0.0,1.1,15.0,11.9,,0.0,0.1,0.1,.066,,-2.9,-0.4,-3.3,0.0
16,Nigel Williams-Goss\willini01,25,9,28,5.7,.254,.286,.286,8.2,11.2,9.8,22.3,1.7,3.0,20.2,15.5,,-0.1,0.0,0.0,-0.045,,-5.1,1.1,-3.9,0.0
17,Stanton Kidd\kiddst01,27,4,15,-13.7,.000,.333,.000,0.0,21.0,11.0,8.0,0.0,0.0,40.0,14.6,,-0.1,0.0,-0.1,-0.327,,-15.6,-1.3,-16.9,-0.1
18,Jarrell Brantley\brantja01,23,5,13,2.7,,,,0.0,40.3,21.1,9.2,0.0,12.8,100.0,6.8,,0.0,0.0,0.0,-0.053,,-8.6,5.9,-2.7,0.0
19,Miye Oni\onimi01,22,5,11,-9.9,.000,.500,.000,0.0,19.1,10.0,0.0,0.0,0.0,33.3,12.0,,-0.1,0.0,-0.1,-0.285,,-12.7,-4.6,-17.3,0.0
20,Justin Wright-Foreman\wrighju02,22,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.010,,-6.1,-0.9,-7.0,0.0